Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
71,28-V600,145.600000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
72,28-V725,145.725000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
73,28-V775,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
74,28-V775,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
75,28-U400,439.400000,-,7.600000,TSQL,77.0,77.0,023,NN,NFM,5.00,,,,,,
76,28-U425,439.425000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
77,29-V650,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
78,31-U2625,439.262500,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
79,31-U275,439.275000,-,7.600000,Tone,71.9,71.9,023,NN,NFM,5.00,,,,,,
80,31-U375,439.375000,-,7.600000,Tone,77.0,77.0,023,NN,NFM,5.00,,,,,,
81,32-V675,145.675000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
82,32-U225,439.225000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
83,32-U400,439.400000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
84,33-V600,145.600000,-,0.600000,Tone,82.5,82.5,023,NN,NFM,5.00,,,,,,
85,33-V625,145.625000,-,0.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
86,33-U425,439.425000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
87,34-V675,145.675000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
88,34-V7125,145.712500,-,0.600000,TSQL,100.0,100.0,023,NN,NFM,5.00,,,,,,
89,34-V7375,145.737500,-,0.600000,TSQL,110.9,110.9,023,NN,NFM,5.00,,,,,,
90,34-V775,145.775000,-,0.600000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
91,34-U150,439.150000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
92,34-U1625,439.162500,-,7.600000,TSQL,131.8,131.8,023,NN,NFM,5.00,,,,,,
93,34-U200,439.200000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
94,34-U250,439.250000,-,7.600000,Tone,94.8,94.8,023,NN,NFM,5.00,,,,,,
